"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1,176,166,4,6
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,3,1078,1033,34,11
CITY OF GOLETA,0,211,200,7,4
COMMUNITY OF ISLA VISTA,0,142,137,4,1
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,9,164,142,21,1
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",1,116,103,11,2
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,4,638,610,20,8
FEDERAL PRISON IN LOMPOC,0,1019,1016,0,3
CITY OF SANTA MARIA,11,3536,3389,98,49
COMMUNITY OF ORCUTT,1,263,253,7,3
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",2,345,329,12,4
Out of County,-,-,-,-,-
Pending,10,368,345,23,0
August,28,2020,,,
Santa Barbara County Totals,67,8014,7676,246,92
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1,176,166,4,6
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,5,1077,1025,40,12
CITY OF GOLETA,2,207,198,6,3
COMMUNITY OF ISLA VISTA,1,142,137,4,1
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,4,155,141,13,1
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",3,113,100,11,2
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,8,637,605,24,8
FEDERAL PRISON IN LOMPOC,0,1019,1016,0,3
CITY OF SANTA MARIA,32,3536,3385,103,48
COMMUNITY OF ORCUTT,5,260,249,7,4
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",5,332,317,11,4
Out of County,—,—,0,0,0
Pending,1,360,337,23,—
August,27,2020,,,
Santa Barbara County Totals,35,7951,7632,228,91
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",2,175,163,6,6
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,3,1072,1023,37,12
CITY OF GOLETA,1,205,197,5,3
COMMUNITY OF ISLA VISTA,0,141,136,4,1
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,2,151,141,9,1
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",2,110,94,14,2
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,4,629,602,19,8
FEDERAL PRISON IN LOMPOC,0,1019,1016,0,3
CITY OF SANTA MARIA,16,3508,3367,94,47
COMMUNITY OF ORCUTT,1,255,246,5,4
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",0,327,315,8,4
Out of County,—,—,0,0,0
Pending,4,359,332,27,—
August,26,2020,,,
Santa Barbara County Totals,47,7916,7585,241,90
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",0,173,162,5,6
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,13,1069,1015,42,12
CITY OF GOLETA,1,204,195,6,3
COMMUNITY OF ISLA VISTA,1,141,132,8,1
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,3,149,140,8,1
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",3,108,92,14,2
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,1,625,595,23,7
FEDERAL PRISON IN LOMPOC,0,1019,1016,0,3
CITY OF SANTA MARIA,17,3492,3353,92,47
COMMUNITY OF ORCUTT,0,254,244,6,4
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",4,327,315,8,4
Out of County,—,—,0,0,0
Pending,4,355,326,29,—
August,25,2020,,,
Santa Barbara County Totals,70,7869,7551,229,89
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1,173,162,5,6
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,7,1056,1008,37,11
CITY OF GOLETA,1,203,192,8,3
COMMUNITY OF ISLA VISTA,0,140,131,8,1
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1,146,140,5,1
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",2,105,92,11,2
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,17,624,593,24,7
FEDERAL PRISON IN LOMPOC,0,1019,1016,0,3
CITY OF SANTA MARIA,34,3475,3335,93,47
COMMUNITY OF ORCUTT,2,254,243,7,4
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",1,323,313,6,4
Out of County,—,—,0,0,0
Pending,4,351,326,25,—
August,25,2020,,,
Santa Barbara County Totals,70,7869,7551,229,89
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1,173,162,5,6
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,7,1056,1008,37,11
CITY OF GOLETA,1,203,192,8,3
COMMUNITY OF ISLA VISTA,0,140,131,8,1
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1,146,140,5,1
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",2,105,92,11,2
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,17,624,593,24,7
FEDERAL PRISON IN LOMPOC,0,1019,1016,0,3
CITY OF SANTA MARIA,34,3475,3335,93,47
COMMUNITY OF ORCUTT,2,254,243,7,4
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",1,323,313,6,4
Out of County,—,—,0,0,0
Pending,4,351,326,25,—
August,24,2020,,,
Santa Barbara County Totals,61,7800,7479,233,88
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1,172,162,4,6
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,12,1049,996,42,11
CITY OF GOLETA,2,202,189,10,3
COMMUNITY OF ISLA VISTA,1,141,130,10,1
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,4,145,136,8,1
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",2,103,88,13,2
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,5,607,577,23,7
FEDERAL PRISON IN LOMPOC,0,1019,1016,0,3
CITY OF SANTA MARIA,27,3441,3307,87,47
COMMUNITY OF ORCUTT,1,252,242,6,4
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",0,322,312,7,3
Out of County,—,—,0,0,0
Pending,6,347,324,23,—
August,23,2020,,,
Santa Barbara County Totals,43,7740,7437,216,87
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1,171,162,3,6
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,13,1037,989,38,10
CITY OF GOLETA,1,200,186,11,3
COMMUNITY OF ISLA VISTA,0,140,129,10,1
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1,141,135,5,1
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",4,101,87,12,2
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,2,602,575,20,7
FEDERAL PRISON IN LOMPOC,0,1019,1016,0,3
CITY OF SANTA MARIA,14,3415,3291,77,47
COMMUNITY OF ORCUTT,2,251,241,6,4
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",0,322,308,11,3
Out of County,-,-,-,-,-
Pending,5,341,318,23,
August,22,2020,,,
Santa Barbara County Totals,44,7697,7368,242,87
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1,170,162,2,6
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,9,1024,977,37,10
CITY OF GOLETA,0,199,183,13,3
COMMUNITY OF ISLA VISTA,5,140,127,12,1
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1,140,128,11,1
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",0,97,86,9,2
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,10,600,566,27,7
FEDERAL PRISON IN LOMPOC,0,1019,1016,0,3
CITY OF SANTA MARIA,14,3401,3275,79,47
COMMUNITY OF ORCUTT,2,249,237,8,4
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",0,322,302,17,3
Out of County,-,-,-,-,-
Pending,2,336,309,27,0
August,21,2020,,,
Santa Barbara County Totals,81,7653,7312,254,87
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1,169,162,1,6
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,12,1015,972,33,10
CITY OF GOLETA,7,199,183,13,3
COMMUNITY OF ISLA VISTA,4,135,124,10,1
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,0,139,127,11,1
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",6,97,85,10,2
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,6,590,557,26,7
FEDERAL PRISON IN LOMPOC,0,1019,1016,0,3
CITY OF SANTA MARIA,25,3387,3257,83,47
COMMUNITY OF ORCUTT,4,247,232,11,4
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",6,322,299,20,3
Out of County,—,—,0,0,0
Pending,10,334,298,36,—
August,20,2020,,,
Santa Barbara County Totals,71,7578,7269,225,84
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1,169,161,2,6
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,13,1003,962,31,10
CITY OF GOLETA,4,193,182,8,3
COMMUNITY OF ISLA VISTA,2,131,114,16,1
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,0,139,127,11,1
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",4,91,84,5,2
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,6,585,553,25,7
FEDERAL PRISON IN LOMPOC,0,1019,1016,0,3
CITY OF SANTA MARIA,30,3364,3251,69,44
COMMUNITY OF ORCUTT,1,244,231,9,4
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",3,316,297,16,3
Out of County,—,—,0,0,0
Pending,7,324,291,33,—
August,19,2020,,,
Santa Barbara County Totals,27,7508,7196,230,82
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",0,168,161,1,6
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,4,991,954,27,10
CITY OF GOLETA,2,189,180,6,3
COMMUNITY OF ISLA VISTA,1,128,108,20,0
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,2,139,126,12,1
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",0,87,84,1,2
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,2,579,544,28,7
FEDERAL PRISON IN LOMPOC,0,1019,1016,0,3
CITY OF SANTA MARIA,9,3334,3212,79,43
COMMUNITY OF ORCUTT,3,243,231,8,4
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",2,313,296,14,3
Out of County,—,—,0,0,0
Pending,2,318,284,34,—
August,18,2020,,,
Santa Barbara County Totals,29,7481,7144,256,81
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",0,168,160,2,6
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,6,985,944,31,10
CITY OF GOLETA,2,187,177,7,3
COMMUNITY OF ISLA VISTA,0,127,105,22,0
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,6,137,126,10,1
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",0,87,83,2,2
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,2,576,539,30,7
FEDERAL PRISON IN LOMPOC,0,1019,1016,0,3
CITY OF SANTA MARIA,2,3324,3191,91,42
COMMUNITY OF ORCUTT,0,240,230,6,4
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",0,311,290,18,3
Out of County,—,—,0,0,0
Pending,11,320,283,37,—
August,17,2020,,,
Santa Barbara County Totals,76,7454,7096,278,80
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1,168,160,2,6
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,7,980,936,35,9
CITY OF GOLETA,3,185,174,8,3
COMMUNITY OF ISLA VISTA,1,127,103,24,0
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1,131,126,4,1
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",0,87,80,5,2
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,10,574,531,36,7
FEDERAL PRISON IN LOMPOC,0,1019,1016,0,3
CITY OF SANTA MARIA,34,3323,3173,108,42
COMMUNITY OF ORCUTT,3,240,230,6,4
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",9,311,291,17,3
Out of County,—,—,0,0,0
Pending,7,309,276,33,—
August,16,2020,,,
Santa Barbara County Totals,40,7378,7036,265,77
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",0,167,159,2,6
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,11,973,931,34,8
CITY OF GOLETA,0,181,172,6,3
COMMUNITY OF ISLA VISTA,2,126,99,27,0
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1,130,124,5,1
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",0,87,79,6,2
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,6,564,527,30,7
FEDERAL PRISON IN LOMPOC,0,1019,1016,0,3
CITY OF SANTA MARIA,9,3288,3141,107,40
COMMUNITY OF ORCUTT,1,236,227,5,4
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",5,301,286,12,3
Out of County,-,-,-,-,-
Pending,5,306,275,31,0
August,15,2020,,,
Santa Barbara County Totals,67,7338,6980,281,77
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",0,167,159,2,6
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,6,962,926,28,8
CITY OF GOLETA,7,181,171,7,3
COMMUNITY OF ISLA VISTA,8,124,95,29,0
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,2,129,122,6,1
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",1,87,79,6,2
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,5,558,523,28,7
FEDERAL PRISON IN LOMPOC,0,1019,1016,0,3
CITY OF SANTA MARIA,28,3279,3113,126,40
COMMUNITY OF ORCUTT,2,235,225,6,4
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",4,296,282,11,3
Out of County,-,-,-,-,-
Pending,4,301,269,32,0
August,14,2020,,,
Santa Barbara County Totals,137,7274,6907,290,77
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1,167,157,4,6
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,13,956,905,43,8
CITY OF GOLETA,4,174,164,7,3
COMMUNITY OF ISLA VISTA,12,116,92,24,0
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,2,127,120,6,1
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",1,86,77,7,2
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,12,554,519,28,7
FEDERAL PRISON IN LOMPOC,0,1019,1016,0,3
CITY OF SANTA MARIA,60,3252,3091,121,40
COMMUNITY OF ORCUTT,3,233,223,6,4
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",6,292,278,11,3
Out of County,—,—,0,0,0
Pending,23,298,265,33,—
August,13,2020,,,
Santa Barbara County Totals,75,7148,6866,207,75
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",0,165,156,3,6
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,14,942,898,37,7
CITY OF GOLETA,3,172,164,5,3
COMMUNITY OF ISLA VISTA,9,103,86,17,0
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,0,125,119,5,1
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",4,85,75,8,2
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,7,542,517,18,7
FEDERAL PRISON IN LOMPOC,0,1019,1016,0,3
CITY OF SANTA MARIA,28,3199,3073,86,40
COMMUNITY OF ORCUTT,2,229,219,7,3
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",2,287,277,7,3
Out of County,—,—,0,0,0
Pending,6,280,266,14,—
August,12,2020,,,
Santa Barbara County Totals,16,7083,6761,249,73
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",0,166,153,7,6
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,2,929,884,38,7
CITY OF GOLETA,0,169,159,7,3
COMMUNITY OF ISLA VISTA,1,97,83,14,0
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,0,125,116,8,1
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",1,81,74,5,2
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,3,536,506,23,7
FEDERAL PRISON IN LOMPOC,0,1019,1016,0,3
CITY OF SANTA MARIA,2,3175,3030,106,39
COMMUNITY OF ORCUTT,1,227,214,10,3
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",2,285,271,12,2
Out of County,—,—,0,0,0
Pending,4,274,255,19,—
August,11,2020,,,
Santa Barbara County Totals,78,7074,6691,305,73
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",0,168,156,2,5
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,13,928,867,54,7
CITY OF GOLETA,1,170,153,14,3
COMMUNITY OF ISLA VISTA,2,96,76,20,0
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,2,125,115,9,1
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",0,80,74,4,2
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,5,533,496,30,7
FEDERAL PRISON IN LOMPOC,0,1019,1016,0,3
CITY OF SANTA MARIA,45,3176,3013,123,40
COMMUNITY OF ORCUTT,3,226,209,14,3
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",4,283,268,13,2
Out of County,—,—,0,0,0
Pending,3,270,248,22,—
August,10,2020,,,
Santa Barbara County Totals,187,6996,6618,306,72
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",6,167,154,9,5
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,30,915,860,49,6
CITY OF GOLETA,13,169,150,16,3
COMMUNITY OF ISLA VISTA,14,94,69,25,0
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,5,123,115,7,1
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",2,80,74,4,2
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,20,528,489,32,7
FEDERAL PRISON IN LOMPOC,0,1019,1016,0,3
CITY OF SANTA MARIA,69,3129,2973,116,40
COMMUNITY OF ORCUTT,6,223,209,11,3
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",6,279,263,14,2
Out of County,—,—,0,0,0
Pending,16,270,246,23,—
August,9,2020,,,
Santa Barbara County Totals,66,6840,6563,208,69
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",0,160,153,4,4
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,7,891,849,36,6
CITY OF GOLETA,2,159,153,3,3
COMMUNITY OF ISLA VISTA,5,81,61,20,0
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,0,119,114,4,1
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",2,78,74,2,2
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,10,512,479,26,7
FEDERAL PRISON IN LOMPOC,0,1019,1016,0,3
CITY OF SANTA MARIA,28,3071,2950,83,37
COMMUNITY OF ORCUTT,2,219,211,5,3
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",5,276,265,9,2
Out of County,-,-,-,-,1
Pending,5,255,238,16,0
August,8,2020,,,
Santa Barbara County Totals,73,6774,6484,221,69
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",4,160,151,6,4
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,9,884,842,36,6
CITY OF GOLETA,2,157,150,4,3
COMMUNITY OF ISLA VISTA,3,76,57,19,0
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,3,119,114,4,1
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",1,76,72,2,2
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,4,502,472,23,7
FEDERAL PRISON IN LOMPOC,0,1019,1016,0,3
CITY OF SANTA MARIA,31,3043,2912,93,37
COMMUNITY OF ORCUTT,3,217,209,5,3
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",2,271,262,7,2
Out of County,-,-,-,-,1
Pending,11,250,227,22,0
August,7,2020,,,
Santa Barbara County Totals,58,6704,6437,198,69
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",2,156,148,5,4
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,5,876,833,37,6
CITY OF GOLETA,1,155,147,5,3
COMMUNITY OF ISLA VISTA,5,74,54,20,0
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1,116,114,1,1
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",1,75,72,1,2
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,8,499,466,26,7
FEDERAL PRISON IN LOMPOC,0,1019,1016,0,3
CITY OF SANTA MARIA,26,3012,2901,73,37
COMMUNITY OF ORCUTT,2,214,208,3,3
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",2,269,261,6,2
Out of County,—,—,0,0,1
Pending,5,239,217,21,—
August,6,2020,,,
Santa Barbara County Totals,77,6652,6379,205,68
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",2,154,147,4,4
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,6,871,825,40,6
CITY OF GOLETA,3,154,145,6,3
COMMUNITY OF ISLA VISTA,13,69,52,17,0
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1,115,113,1,1
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",0,74,72,0,2
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,5,491,460,24,7
FEDERAL PRISON IN LOMPOC,0,1019,1016,0,3
CITY OF SANTA MARIA,35,2990,2875,78,36
